id,last_scraped,neighbourhood_group_cleansed,latitude,longitude,room_type,price
14654214,2018/12/16,Victoria,48.4291001,-123.3639523,Entire home/apt,150.00 
14690388,2018/12/16,Victoria,48.43031476,-123.3697336,Entire home/apt,199.00 
14698395,2018/12/16,Saanich,48.50028892,-123.3734089,Private room,179.00 
14710094,2018/12/16,Esquimalt,48.44734516,-123.4096678,Entire home/apt,135.00 
14711707,2018/12/16,Victoria,48.42743065,-123.3701942,Entire home/apt,175.00 
14711708,2018/12/16,Victoria,48.42891338,-123.3690794,Entire home/apt,199.00 
14711709,2018/12/16,Victoria,48.42885981,-123.3695386,Entire home/apt,199.00 
14711710,2018/12/16,Victoria,48.42734012,-123.3696198,Entire home/apt,175.00 
14714222,2018/12/16,Saanich,48.45983771,-123.2762195,Entire home/apt,260.00 
14730587,2018/12/16,Victoria,48.4111661,-123.3708281,Entire home/apt,104.00 
14743539,2018/12/16,Victoria,48.40939846,-123.3471511,Entire home/apt,60.00 
14745556,2018/12/16,Colwood,48.42206184,-123.5130507,Entire home/apt,86.00 
14788387,2018/12/16,Juan de Fuca,48.37281979,-123.6342413,Entire home/apt,119.00 
14788632,2018/12/16,Victoria,48.42228249,-123.383515,Entire home/apt,86.00 
14789140,2018/12/16,Central Saanich,48.5768431,-123.4644154,Entire home/apt,115.00 
14791583,2018/12/16,Victoria,48.41864742,-123.3584641,Entire home/apt,80.00 
14805704,2018/12/16,Victoria,48.43129199,-123.3681699,Entire home/apt,75.00 
14807938,2018/12/16,Saanich,48.52899898,-123.3752148,Entire home/apt,96.00 
14808923,2018/12/16,Salt Spring Island,48.8797394,-123.5693093,Entire home/apt,179.00 
14819143,2018/12/16,Central Saanich,48.56680046,-123.4002818,Private room,107.00 
14819187,2018/12/16,Saanich,48.45121662,-123.3837295,Entire home/apt,250.00 
14824569,2018/12/16,Esquimalt,48.43100849,-123.395661,Private room,63.00 
14827689,2018/12/16,Langford,48.41330947,-123.5358379,Entire home/apt,100.00 
14840135,2018/12/16,Victoria,48.42927805,-123.3679867,Entire home/apt,79.00 
14844413,2018/12/16,Central Saanich,48.57554257,-123.4658922,Entire home/apt,137.00 
14849978,2018/12/16,Victoria,48.40707122,-123.3490888,Entire home/apt,150.00 
14860444,2018/12/16,Langford,48.45065813,-123.4836367,Entire home/apt,104.00 
14871976,2018/12/16,Saanich,48.46527941,-123.3395569,Entire home/apt,82.00 
14883597,2018/12/16,Juan de Fuca,48.56006582,-124.4020804,Entire home/apt,250.00 
14883699,2018/12/16,Langford,48.47081788,-123.5024268,Private room,78.00 
14885286,2018/12/16,Oak Bay,48.43372665,-123.3082479,Entire home/apt,300.00 
14892145,2018/12/16,Saanich,48.52828315,-123.4174757,Entire home/apt,150.00 
14894389,2018/12/16,Saanich,48.45354425,-123.3602417,Entire home/apt,63.00 
14902706,2018/12/16,Saanich,48.49355499,-123.3064449,Entire home/apt,300.00 
14912799,2018/12/16,Esquimalt,48.43102453,-123.4017446,Entire home/apt,138.00 
14916232,2018/12/16,Salt Spring Island,48.93080452,-123.5721078,Entire home/apt,169.00 
14927889,2018/12/16,Victoria,48.42750502,-123.3671411,Entire home/apt,195.00 
14951943,2018/12/16,Saanich,48.45055182,-123.3642072,Private room,46.00 
14952116,2018/12/16,Colwood,48.42126317,-123.491295,Entire home/apt,90.00 
14953094,2018/12/16,Langford,48.4762262,-123.5263597,Private room,100.00 
14962201,2018/12/16,Salt Spring Island,48.77256707,-123.4978153,Entire home/apt,86.00 
14964353,2018/12/16,Victoria,48.41588786,-123.3704615,Entire home/apt,80.00 
14966485,2018/12/16,Juan de Fuca,48.55320939,-124.4170985,Entire home/apt,219.00 
14994787,2018/12/16,Sooke,48.38191266,-123.7083667,Entire home/apt,219.00 
14996570,2018/12/16,Langford,48.46672984,-123.5089701,Private room,60.00 
14996848,2018/12/16,Langford,48.46715105,-123.5084184,Private room,50.00 
15006232,2018/12/16,Saanich,48.51078746,-123.3681167,Entire home/apt,250.00 
15026125,2018/12/16,Salt Spring Island,48.75091367,-123.4591883,Entire home/apt,195.00 
15028324,2018/12/16,Saanich,48.47006093,-123.2964647,Entire home/apt,75.00 
15040911,2018/12/16,Victoria,48.42088969,-123.3649452,Entire home/apt,135.00 
15049382,2018/12/16,Central Saanich,48.57859928,-123.4658946,Private room,75.00 
15050097,2018/12/16,Central Saanich,48.5787133,-123.4672899,Private room,60.00 
15060878,2018/12/16,Central Saanich,48.55747884,-123.3941677,Entire home/apt,90.00 
15070306,2018/12/16,Saanich,48.50165107,-123.3734873,Private room,80.00 
15071710,2018/12/16,Salt Spring Island,48.87818162,-123.5292958,Entire home/apt,230.00 
15071711,2018/12/16,Salt Spring Island,48.87864771,-123.5284887,Entire home/apt,245.00 
15071715,2018/12/16,Salt Spring Island,48.87987678,-123.5299856,Entire home/apt,175.00 
15071716,2018/12/16,Salt Spring Island,48.87946065,-123.5300501,Entire home/apt,135.00 
15071719,2018/12/16,Salt Spring Island,48.88019397,-123.5289844,Entire home/apt,161.00 
15071723,2018/12/16,Salt Spring Island,48.87991471,-123.5351749,Entire home/apt,135.00 
15071727,2018/12/16,Salt Spring Island,48.87946027,-123.5323403,Entire home/apt,138.00 
15071730,2018/12/16,Salt Spring Island,48.8801919,-123.5305632,Entire home/apt,256.00 
15071731,2018/12/16,Salt Spring Island,48.87836373,-123.5301224,Entire home/apt,179.00 
15086474,2018/12/16,Colwood,48.41889376,-123.5130608,Entire home/apt,75.00 
15098736,2018/12/16,View Royal,48.4650183,-123.4509164,Entire home/apt,50.00 
15101547,2018/12/16,Victoria,48.42885927,-123.3691034,Entire home/apt,119.00 
15107007,2018/12/16,Saanich,48.47269908,-123.3825094,Private room,70.00 
15109059,2018/12/16,Sidney,48.64722154,-123.3993926,Entire home/apt,95.00 
15110263,2018/12/16,Victoria,48.41250269,-123.3471091,Entire home/apt,94.00 
15114964,2018/12/16,Saanich,48.46289564,-123.3630756,Private room,60.00 
15127623,2018/12/16,Saanich,48.5361834,-123.4151076,Entire home/apt,150.00 
15128204,2018/12/16,Langford,48.46753708,-123.5056325,Private room,35.00 
15131998,2018/12/16,Langford,48.46877916,-123.5050459,Private room,29.00 
15151262,2018/12/16,Victoria,48.42778788,-123.3668365,Entire home/apt,173.00 
15158242,2018/12/16,Saanich,48.52798274,-123.3874888,Entire home/apt,70.00 
15160430,2018/12/16,Sooke,48.38752639,-123.6473285,Entire home/apt,159.00 
15161155,2018/12/16,Sooke,48.38765882,-123.648524,Entire home/apt,189.00 
15166928,2018/12/16,Saanich,48.47074096,-123.3993768,Entire home/apt,78.00 
15167803,2018/12/16,Victoria,48.42350121,-123.3656343,Entire home/apt,159.00 
15217366,2018/12/16,Saanich,48.47717525,-123.345657,Entire home/apt,95.00 
15223401,2018/12/16,Victoria,48.42589231,-123.3463858,Entire home/apt,100.00 
15230694,2018/12/16,Langford,48.44139546,-123.5332691,Entire home/apt,50.00 
15233283,2018/12/16,Southern Gulf Islands,48.85066601,-123.2964081,Entire home/apt,175.00 
15236604,2018/12/16,North Saanich,48.65693534,-123.4463823,Private room,66.00 
15256969,2018/12/16,Juan de Fuca,48.55639908,-124.4062809,Entire home/apt,236.00 
15268338,2018/12/16,Salt Spring Island,48.87651871,-123.5631915,Entire home/apt,100.00 
15296700,2018/12/16,Victoria,48.44217477,-123.3406497,Entire home/apt,150.00 
15298105,2018/12/16,Victoria,48.4209914,-123.3652349,Entire home/apt,341.00 
15298944,2018/12/16,Victoria,48.42652701,-123.361799,Entire home/apt,331.00 
15300899,2018/12/16,Victoria,48.42886892,-123.342832,Private room,60.00 
15314617,2018/12/16,Victoria,48.43161314,-123.33133,Entire home/apt,64.00 
15323349,2018/12/16,Salt Spring Island,48.87977989,-123.5492621,Entire home/apt,75.00 
15335824,2018/12/16,Langford,48.46804044,-123.5262526,Private room,440.00 
15343094,2018/12/16,Saanich,48.4600688,-123.3001375,Entire home/apt,270.00 
15356911,2018/12/16,Saanich,48.45703243,-123.3416077,Entire home/apt,215.00 
15374405,2018/12/16,Salt Spring Island,48.87530201,-123.5386489,Private room,135.00 
15378384,2018/12/16,Victoria,48.4254366,-123.3645278,Entire home/apt,80.00 
15396995,2018/12/16,Sooke,48.39066798,-123.637018,Entire home/apt,47.00 
15406109,2018/12/16,Saanich,48.48853918,-123.3221919,Entire home/apt,230.00 
15422628,2018/12/16,Central Saanich,48.57967689,-123.4290841,Entire home/apt,90.00 
15423675,2018/12/16,Saanich,48.45561124,-123.4137631,Entire home/apt,110.00 
15431131,2018/12/16,Victoria,48.43556712,-123.3403716,Entire home/apt,99.00 
