"","neighbourhood_group_cleansed","latitude","longitude","room_type","bathrooms","bedrooms","price"
"603","Victoria",48.42607,-123.36141,"Entire home/apt",2,2,"$325.00"
"604","Victoria",48.40665,-123.35125,"Entire home/apt",1,0,"$67.00"
"605","Saanich",48.46217,-123.32326,"Entire home/apt",1,1,"$106.00"
"606","Victoria",48.42316,-123.36551,"Entire home/apt",2,2,"$371.00"
"607","Central Saanich",48.57297,-123.40651,"Entire home/apt",1,0,"$99.00"
"608","Victoria",48.42118,-123.36342,"Entire home/apt",2,2,"$325.00"
"609","Victoria",48.42203,-123.36292,"Entire home/apt",1,1,"$110.00"
"610","Victoria",48.42185,-123.36439,"Entire home/apt",2,2,"$341.00"
"611","Victoria",48.4227,-123.36652,"Entire home/apt",3,2,"$389.00"
"612","Victoria",48.42044,-123.36448,"Entire home/apt",1,1,"$193.00"
"613","Juan de Fuca",48.52132,-123.54691,"Entire home/apt",2.5,2,"$250.00"
"614","Victoria",48.42551,-123.36435,"Entire home/apt",1,1,"$175.00"
"615","Oak Bay",48.46534,-123.3202,"Entire home/apt",1,1,"$115.00"
"616","Juan de Fuca",48.35819,-123.8179,"Entire home/apt",1,1,"$125.00"
"617","Salt Spring Island",48.87677,-123.55942,"Entire home/apt",1,1,"$98.00"
"618","Victoria",48.40901,-123.35348,"Entire home/apt",1,2,"$158.00"
"619","Victoria",48.42204,-123.38196,"Private room",1,1,"$60.00"
"620","Victoria",48.42239,-123.36474,"Entire home/apt",2,2,"$389.00"
